Timestamp,pid.Output,real_current,measure.rpm
235834620,77.5499,-176,7006
235865463,141.5,-252,7005
235898601,-19.5758,227,6995
235931129,223.355,-95,7007
235958194,-67.4927,-505,6996
235992449,13.6737,-500,6997
236022260,103.549,-65,6998
236051748,102.551,64,6995
236084809,132.456,-5,6999
236116724,-114.451,317,6998
236140296,169.557,-250,7001
236177280,60.56,-114,7006
236209522,169.561,479,6997
236238482,55.5705,649,7000
236270552,55.5912,497,6994
236304341,-67.5843,-6,7007
236337527,-66.5344,387,6997
236378199,-21.4393,-42,7003
236409602,54.5733,44,6995
236443066,-113.426,20,7004
236472985,76.5765,380,6995
236505494,120.699,-127,6995
236538989,104.381,-73,6998
236567548,75.5141,184,7002
236598926,221.319,25,6998
236633639,0,237,6993
236663170,75.6562,-1,7006
236695234,102.528,211,6993
236724521,222.356,-479,6998
236771110,104.224,-20,6995
236801196,-56.6254,-543,6998
236832927,100.597,-280,6995
236864674,172.068,656,6995
236895835,-7.76649,187,6998
236927244,11.708,584,6999
236990683,-85.9372,-184,7004
237019565,122.605,24,7004
237051963,-19.444,-413,6998
237081964,121.615,-38,7007
237115589,48.6238,-25,6998
237146681,76.6142,339,6995
237179045,131.81,263,7003
237205237,0,-185,6998
237239914,146.619,-11,6997
237271470,0,259,6995
237300372,-60.3773,194,6997
237330532,-66.3396,179,6997
237355474,195.625,241,6993
237392521,104.628,255,6999
237424719,-42.3351,-217,6995
237455764,74.444,124,6999
237486272,84.6336,207,7006
237501105,74.6047,101,7004
237534485,103.641,622,6993
237595118,0,173,7005
237625430,9.63099,306,6996
237657501,-111.343,673,6997
237689997,102.625,-122,6995
237720477,148.647,200,6990
237754562,101.679,353,6999
237785217,75.6495,294,6995
237814155,149.651,-558,6999
237847685,106.653,173,7006
237878011,151.751,-684,7004
237909752,0,-35,7000
