Timestamp,ref_rpm_1,Timestamp,sht_controller[1].pid_speed.Output,Timestamp,sht_motor[1].measure.real_current,Timestamp,sht_motor[1].measure.speed_rpm,
12650859,7000,12650859,119.365,12650859,297,12650859,6996,
12691417,7000,12691417,139.363,12691417,284,12691417,6993,
12724998,7000,12724998,48.3828,12724998,-192,12724998,6996,
12757740,7000,12757740,92.4408,12757740,-317,12757740,6999,
12790584,7000,12790584,168.401,12790584,232,12790584,7000,
12820006,7000,12820006,92.373,12820006,564,12820006,6992,
12845892,7000,12845892,-86.5765,12845892,369,12845892,6995,
12919202,7000,12919202,0,12919202,182,12919202,6993,
12949323,7000,12949323,0,12949323,705,12949323,6997,
12978049,7000,12978049,0,12978049,272,12978049,6999,
13011039,7000,13011039,89.5703,13011039,43,13011039,7007,
13045730,7000,13045730,164.461,13045730,419,13045730,6995,
13074544,7000,13074544,28.4718,13074544,327,13074544,6997,
13108111,7000,13108111,43.3581,13108111,-291,13108111,6999,
13136056,7000,13136056,45.5582,13136056,286,13136056,6996,
13169805,7000,13169805,139.473,13169805,566,13169805,6998,
13204768,7000,13204768,119.506,13204768,-187,13204768,6996,
13230157,7000,13230157,167.518,13230157,211,13230157,7000,
13256267,7000,13256267,-71.3597,13256267,-157,13256267,6992,
13290720,7000,13290720,212.528,13290720,308,13290720,6993,
13321444,7000,13321444,72.5369,13321444,20,13321444,6997,
13356734,7000,13356734,117.546,13356734,-246,13356734,7002,
13385618,7000,13385618,91.5535,13385618,-152,13385618,7000,
13418986,7000,13418986,120.565,13418986,228,13418986,6999,
13450890,7000,13450890,215.769,13450890,243,13450890,6998,
13495696,7000,13495696,48.5816,13495696,-104,13495696,7001,
13527218,7000,13527218,43.8519,13527218,8,13527218,7000,
13556747,7000,13556747,71.5978,13556747,200,13556747,6993,
13587839,7000,13587839,-64.5015,13587839,381,13587839,6994,
13620589,7000,13620589,45.7076,13620589,-300,13620589,6989,
13652165,7000,13652165,140.62,13652165,-73,13652165,6997,
13683100,7000,13683100,-69.2632,13683100,-275,13683100,6996,
13714476,7000,13714476,140.636,13714476,-625,13714476,6998,
13742207,7000,13742207,43.8099,13742207,71,13742207,6995,
13777086,7000,13777086,45.5915,13777086,338,13777086,7003,
